id,title,body,field_date_start,field_date_end,field_event_image,field_address
evt1,Happyville Spring Farmers Market,"Join Happyville’s finest farmers, bakers, and artisans every Saturday this spring! Enjoy fresh produce, handmade soaps, and baked treats. Live acoustic music, a bounce house for the kids, and cooking demos all morning long.",2025-04-12 08:00:00,2025-04-12 13:00:00,happyville_spring_farmers_market,"{""address_line1"":""123 Main St"",""locality"":""Happyville"",""administrative_area"":""TX"",""postal_code"":""75001"",""country_code"":""US""}"
evt2,Happyville Fourth of July Parade & Fireworks,"Kick off Independence Day with Happyville’s iconic parade downtown! Wave flags, enjoy food vendors, and gather later at Riverfront Park for a breathtaking fireworks finale at 9:00 PM.",2025-07-04 10:00:00,2025-07-04 21:30:00,happyville_july4_parade_fireworks,"{""address_line1"":""1 Riverfront Blvd"",""locality"":""Happyville"",""administrative_area"":""TX"",""postal_code"":""75001"",""country_code"":""US""}"
evt3,Town Hall Meeting: Community Budget Planning,Meet your elected officials and weigh in on the upcoming budget! All residents are invited to Happyville Town Hall to share ideas and concerns. Public comments welcome.,2025-03-18 18:30:00,2025-03-18 20:00:00,happyville_town_hall_meeting,"{""address_line1"":""100 Civic Center Dr"",""locality"":""Happyville"",""administrative_area"":""TX"",""postal_code"":""75001"",""country_code"":""US""}"
evt4,Happyville Neighborhood Block Party,"Celebrate summer with your neighbors! Oak Street will close to traffic and open to fun — food trucks, live music, and games for the kids. Bring your lawn chairs and enjoy an evening under the string lights!",2025-06-21 16:00:00,2025-06-21 21:00:00,happyville_block_party,"{""address_line1"":""Oak St between 3rd & 5th"",""locality"":""Happyville"",""administrative_area"":""TX"",""postal_code"":""75001"",""country_code"":""US""}"
evt5,Fourth of July Celebration Poster,"Don’t miss our annual Independence Day celebration! Parade in the morning, concerts throughout the day, and fireworks after dark. A full day of patriotic fun for the whole family.",2025-07-04 16:00:00,2025-07-04 21:00:00,happyville_fourth_of_july_poster,"{""address_line1"":""1 Riverfront Blvd"",""locality"":""Happyville"",""administrative_area"":""TX"",""postal_code"":""75001"",""country_code"":""US""}"
evt6,Happyville Harvest Festival,"Celebrate the changing seasons with pumpkin painting, local vendors, and hayrides. The Town Square turns into a fall wonderland with apple cider, music, and autumn crafts for all ages.",2025-10-19 10:00:00,2025-10-19 17:00:00,happyville_harvest_festival,"{""address_line1"":""200 Town Square"",""locality"":""Happyville"",""administrative_area"":""TX"",""postal_code"":""75001"",""country_code"":""US""}"
evt7,Happyville Holiday Tree Lighting,"Join us on the City Hall lawn for the lighting of the Happyville Tree! Sip hot cocoa, sing carols, and welcome Santa Claus himself. Bring a canned good for our community food drive.",2025-12-06 18:00:00,2025-12-06 20:00:00,happyville_tree_lighting_poster,"{""address_line1"":""100 Civic Center Dr"",""locality"":""Happyville"",""administrative_area"":""TX"",""postal_code"":""75001"",""country_code"":""US""}"
evt8,Happyville Community Yard Sale,"Clear your garage and find treasure at the town-wide yard sale! Residents set up tables outside their homes for a morning of bargains, barter, and meeting new neighbors.",2025-06-11 08:00:00,2025-06-11 14:00:00,happyville_community_yard_sale,"{""address_line1"":""Various locations"",""locality"":""Happyville"",""administrative_area"":""TX"",""postal_code"":""75001"",""country_code"":""US""}"
evt9,Happyville Downtown Art Walk,"Stroll downtown and discover the work of local artists, live mural painting, music performances, and refreshments. Support the arts and explore Main Street galleries after hours.",2025-07-19 17:00:00,2025-07-19 21:00:00,happyville_downtown_art_walk,"{""address_line1"":""Main Street"",""locality"":""Happyville"",""administrative_area"":""TX"",""postal_code"":""75001"",""country_code"":""US""}"
evt10,Happyville Tree Lighting (Alt Poster),"Bring the family to the Town Square for a magical night! Enjoy seasonal songs, a visit from Santa, and a twinkling tree lighting ceremony. Free cocoa and cookies provided!",2025-12-05 18:30:00,2025-12-05 20:00:00,happyville_tree_lighting,"{""address_line1"":""Town Square"",""locality"":""Happyville"",""administrative_area"":""TX"",""postal_code"":""75001"",""country_code"":""US""}"
